tt60307651,A Tender Touch,A Tender Touch,1960,25,"Action,Crime,Drama",7.8,70,6,writer,written by,3,13,Tony Barrett,1916,1974,"writer,producer,actor"
tt60307839,Killer gesucht,Killer gesucht,1986,57,"Crime,Drama",7.4,19,7,producer,producer,10,8,Helmut Ringelmann,1926,2011,"producer,production_manager,miscellaneous"
tt60310148,Episode 11075,Episode 11075,1970,22,"Drama,Fantasy,Horror",7.2,21,7,writer,creator,1,1075,Dan Curtis,1927,2006,"producer,writer,director"
tt60312190,Honor Among Thieves,Honor Among Thieves,1998,46,"Action,Adventure,Drama",7.3,1758,6,writer,"based upon ""Star Trek"" created by",6,15,Gene Roddenberry,1921,1991,"writer,producer,miscellaneous"
tt60314023,Stay Awhile Mr Dream Chaser,Stay Awhile Mr Dream Chaser,1971,30,"Comedy,Drama,Family",7.6,13,9,producer,producer,3,9,William P. D'Angelo,1932,2002,"producer,director,writer"
tt60314239,Press Pass to the Slammer,Press Pass to the Slammer,1973,60,"Action,Crime,Drama",7.5,73,9,cinematographer,director of photography,2,23,Jack Swain,1922,1987,"cinematographer,camera_department,miscellaneous"
tt60321893,All the Clocks Are Ticking,All the Clocks Are Ticking,1962,60,Drama,8.8,6,6,writer,creator,1,25,James E. Moser,1921,1993,"writer,producer,miscellaneous"
tt60322123,Partners in Danger Chapter 5 Partners,Partners in Danger Chapter 5 Partners,1997,22,"Action,Adventure,Animation",7.7,518,8,writer,"based on Marvel's ""Spider-Man"" comics by",4,5,Stan Lee,1922,2018,"producer,writer,actor"
tt60322262,Ches and the Grand Lady,Ches and the Grand Lady,1994,46,"Crime,Drama,Mystery",7.8,51,7,writer,based on the characters from the novel by,7,16,John Ball,1911,1988,writer
tt60323162,Value Added,Value Added,1996,25,"Crime,Drama",8.2,34,6,writer,deviser,12,51,Geoff McQueen,1947,1994,"writer,miscellaneous"
tt60327127,Matter of Courage,Matter of Courage,1950,30,Western,8.2,63,6,writer,screenplay,1,33,Herb Meadow,1911,1995,"writer,producer"
tt60327272,The Giuoco Piano Affair,The Giuoco Piano Affair,1964,60,"Action,Adventure,Crime",7.6,215,6,writer,written by,1,7,Alan Caillou,1914,2006,"actor,writer"
tt60330833,Jealousy,Jealousy,1957,30,Western,6.8,160,6,writer,screenplay by,2,39,Sam Peckinpah,1925,1984,"writer,director,producer"
tt60330846,Where Theres a Will Theres a Way Part One,Where Theres a Will Theres a Way Part One,1964,50,Adventure,7.1,50,10,cinematographer,director of photography,4,21,Jack A. Marta,1903,1991,"cinematographer,camera_department,miscellaneous"
tt60333131,To Bardo and Back,To Bardo and Back,1996,22,"Action,Adventure,Animation",7.7,16,7,writer,characters,1,26,William Hanna,1910,2001,"producer,director,writer"
tt60335622,Love My Enemy,Love My Enemy,1969,60,"Crime,Drama,Mystery",7.2,44,8,producer,producer,3,6,Douglas Benton,1925,2000,"producer,writer,director"
tt60336108,Old Folks at Home Blues,Old Folks at Home Blues,1958,26,"Action,Crime,Drama",7.3,20,6,writer,characters,1,32,Mickey Spillane,1918,2006,"writer,actor"
tt60337806,Girl at the Eiffel Tower,Girl at the Eiffel Tower,1990,25,"Action,Adventure,Animation",7.4,78,9,writer,"novel ""20, 000 Leagues Under the Sea""",1,1,Jules Verne,1828,1905,writer
tt60338414,Favor the Bold,Favor the Bold,1997,46,"Action,Adventure,Drama",8.5,1909,8,writer,created by,6,5,Michael Piller,1948,2005,"writer,miscellaneous,producer"
tt60345127,Barbary Castle,Barbary Castle,1960,30,Western,7.6,31,7,writer,written by,2,37,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt60345329,Cop of the Year,Cop of the Year,1972,76,"Crime,Drama,Mystery",8.2,105,6,writer,created by,2,3,Leonard Stern,1922,2011,"writer,producer,miscellaneous"
tt60345337,Pity Poor Edie Married to Him,Pity Poor Edie Married to Him,1969,25,Comedy,6.3,13,6,writer,written by,1,5,Ray Galton,1930,2018,"writer,producer,actor"
tt60346169,The Woman in Black,The Woman in Black,1962,30,Western,6.3,9,7,writer,creator,2,36,Samuel A. Peeples,1917,1997,"writer,producer,miscellaneous"
tt60346855,Requiem for a Bride,Requiem for a Bride,1975,120,"Crime,Drama,Mystery",7.1,73,8,producer,producer,5,2,Jon Epstein,1928,1990,"producer,miscellaneous,production_manager"
tt60347539,What Are Friends For,What Are Friends For,1979,60,Drama,7.9,13,6,writer,developed for television by,1,6,Don Brinkley,1921,2012,"writer,producer,miscellaneous"
tt60347680,Injun Kid,Injun Kid,1977,60,"Drama,Family,Romance",7.8,300,7,writer,"based upon the series of books ""Little House"" by",3,15,Laura Ingalls Wilder,1867,1957,writer
tt60350586,Tod einer Hexe,Tod einer Hexe,2012,48,"Comedy,Crime",7.0,8,6,writer,written by,1,3,Michael Baier,1940,2019,"writer,production_manager"
