tt58419704,The Orphan Asylum,The Orphan Asylum,1957,30,"Comedy,Family",7.8,14,6,writer,written by,4,25,Arthur Stander,1917,1963,"miscellaneous,writer,producer"
tt58423372,Mayberry on Record,Mayberry on Record,1961,26,"Comedy,Family",8.1,378,7,writer,written by,1,19,Benedict Freedman,1919,2012,writer
tt58452452,Nostalgia Party,Nostalgia Party,1974,26,Comedy,7.9,62,7,writer,teleplay by,3,14,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt58489500,Double Date,Double Date,1962,30,"Comedy,Family",8.1,104,9,writer,written by,6,5,Roland MacLane,1903,1984,writer
tt58493176,The Sheik of Araby,The Sheik of Araby,1971,30,Comedy,5.8,18,6,writer,created by,4,11,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt58553084,The Partners,The Partners,1963,30,"Comedy,Family",5.8,14,8,writer,written by,6,35,Irving Elinson,1907,1967,"writer,producer"
tt58589897,Gomer the MP,Gomer the MP,1965,30,"Comedy,War",7.6,57,7,writer,created by,1,30,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt58606995,Marys Heart Throb,Marys Heart Throb,1961,30,"Comedy,Family",7.8,19,7,writer,written by,3,27,John Whedon,1905,1991,writer
tt58625551,Spy Counterspy Counter Counterspy,Spy Counterspy Counter Counterspy,1966,30,"Comedy,Western",7.9,56,7,writer,written by,1,22,Howard Merrill,1916,2002,"writer,producer,miscellaneous"
tt58762547,Love and the Big GameLove and the Nutsy GirlLove and the Vampire,Love and the Big GameLove and the Nutsy GirlLove and the Vampire,1971,30,"Comedy,Romance",7.4,21,8,writer,written by,2,18,Jim Parker,1936,2018,"writer,producer,director"
tt58902362,As You Were,As You Were,1974,25,"Comedy,Drama,War",7.7,520,7,writer,teleplay by,2,20,Laurence Marks,1915,1993,"writer,script_department,producer"
tt58933141,Carusos Way,Carusos Way,1977,30,Comedy,7.1,47,7,writer,written by,2,14,Jim Parker,1936,2018,"writer,producer,director"
tt58945681,Sid Caesar and Barbara McNair,Sid Caesar and Barbara McNair,1968,60,"Comedy,Family",7.3,34,9,writer,writer,1,29,Don Hinkley,1921,1981,"writer,producer"
tt58986408,Cyrano McCoy,Cyrano McCoy,1961,30,"Comedy,Family",6.9,18,5,writer,written by,5,7,John L. Greene,1912,1995,"writer,producer"
tt59002248,The Wedding,The Wedding,1960,30,"Comedy,Family",8.3,14,6,writer,written by,7,26,Arthur Stander,1917,1963,"miscellaneous,writer,producer"
tt59044723,Stranger in Town,Stranger in Town,1960,26,"Comedy,Family",8.2,480,6,writer,written by,1,12,Arthur Stander,1917,1963,"miscellaneous,writer,producer"
tt59083206,Hippie Hippie Hooray,Hippie Hippie Hooray,1968,30,"Comedy,Family,Fantasy",8.0,280,6,writer,written by,4,21,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt59096083,Foul Ball,Foul Ball,1986,29,Comedy,7.6,50,7,writer,written by,1,4,Jack Burns,1933,2020,"actor,writer,producer"
tt59130073,The Smell of Music,The Smell of Music,1978,25,"Comedy,Drama,War",8.0,474,7,writer,written by,6,15,Everett Greenbaum,1919,1999,"writer,actor,miscellaneous"
tt59159695,Gina from Italy,Gina from Italy,1959,30,"Comedy,Family",7.7,20,6,writer,written by,6,19,Arthur Stander,1917,1963,"miscellaneous,writer,producer"
tt59209024,Sergeant Carters Farewell to His Troops,Sergeant Carters Farewell to His Troops,1965,30,"Comedy,War",7.4,59,7,writer,created by,1,17,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt59299421,Double Date with the Sarge,Double Date with the Sarge,1965,30,"Comedy,War",7.5,50,6,writer,written by,1,26,Richard Powell,1916,1996,"writer,producer,script_department"
tt59305769,Yankee Doodle Doctor,Yankee Doodle Doctor,1972,25,"Comedy,Drama,War",8.1,765,6,writer,written by,1,6,Laurence Marks,1915,1993,"writer,script_department,producer"
tt59334147,Good Old Days,Good Old Days,1958,30,"Comedy,Family",7.8,26,7,writer,written by,5,25,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt59382209,Cupids Question Column,Cupids Question Column,1957,30,"Comedy,Family",5.9,10,6,writer,writer,1,22,John L. Greene,1912,1995,"writer,producer"
tt59415628,The Day They Captured Santa,The Day They Captured Santa,1962,30,"Comedy,War",7.7,57,7,writer,written by,1,11,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt59506548,Mamas Baby Papas Maybe,Mamas Baby Papas Maybe,1974,30,Comedy,8.7,176,10,producer,producer,3,14,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt59515414,Threes a Crowd,Threes a Crowd,1962,30,Comedy,6.7,13,6,writer,written by,2,3,Harry Crane,1914,1999,"writer,miscellaneous,soundtrack"
tt59528046,The Paku Who Came to Dinner,The Paku Who Came to Dinner,1974,23,"Adventure,Family,Fantasy",6.2,55,6,writer,written by,1,10,Barry E. Blitzer,1929,2010,"writer,miscellaneous,script_department"
tt59584801,Hate Me a Little,Hate Me a Little,1965,30,"Comedy,Family,Sci-Fi",7.4,28,7,writer,creator,3,9,John L. Greene,1912,1995,"writer,producer"
tt59642125,Joeys Replacement,Joeys Replacement,1962,30,Comedy,6.7,14,6,writer,written by,2,5,Harry Crane,1914,1999,"writer,miscellaneous,soundtrack"
tt59696138,Gomer and the Phone Company,Gomer and the Phone Company,1966,30,"Comedy,War",7.9,55,8,writer,created by,2,23,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt59805171,The Big Fish Count,The Big Fish Count,1961,30,"Comedy,Family",8.0,105,9,writer,written by,4,21,Roland MacLane,1903,1984,writer
tt59861550,The Ghost Hunter,The Ghost Hunter,1968,30,"Comedy,Fantasy",7.7,52,6,writer,written by,1,4,Joseph Bonaduce,1927,2004,"writer,miscellaneous,producer"
tt59864447,LIP Local Indigenous Personnel,LIP Local Indigenous Personnel,1973,25,"Comedy,Drama,War",7.5,558,8,writer,written by,2,7,Laurence Marks,1915,1993,"writer,script_department,producer"
tt59948641,Runaway Kid,Runaway Kid,1960,26,"Comedy,Family",7.6,404,6,writer,written by,1,6,Arthur Stander,1917,1963,"miscellaneous,writer,producer"
tt60132673,Shes Only a Build in a Girdled Cage,Shes Only a Build in a Girdled Cage,1965,30,"Comedy,Western",7.6,61,7,writer,written by,1,10,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt60154282,Spy Counterspy Counter Counterspy,Spy Counterspy Counter Counterspy,1966,30,"Comedy,Western",7.9,56,6,writer,written by,1,22,Stan Dreben,1918,1980,"writer,script_department,miscellaneous"
tt60196116,Grandpa Meets Zsa Zsa,Grandpa Meets Zsa Zsa,1956,30,Comedy,8.7,8,8,writer,written by,3,1,Phil Shuken,1911,1978,"writer,producer"
tt60206456,Andys Investment,Andys Investment,1967,30,"Comedy,Family",6.7,165,6,writer,written by,8,11,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt60222215,Daddy Does His Thing,Daddy Does His Thing,1969,24,"Comedy,Family,Fantasy",7.9,257,6,writer,written by,5,27,Michael Morris,1918,2003,"writer,miscellaneous,producer"
tt60227349,Let Them Out of the Nest,Let Them Out of the Nest,1969,23,Comedy,7.2,23,9,writer,created by,1,15,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt60397442,Love Story,Love Story,1973,25,"Comedy,Drama,War",7.3,629,6,writer,written by,1,14,Laurence Marks,1915,1993,"writer,script_department,producer"
tt60408771,Guest in the House,Guest in the House,1958,30,"Comedy,Family",7.2,39,7,writer,written by,1,10,John Whedon,1905,1991,writer
tt60416612,The Man in the Funny Suit,The Man in the Funny Suit,1960,60,Drama,9.3,32,6,cinematographer,director of photography,2,14,Sidney Hickox,1895,1982,"cinematographer,camera_department,actor"
tt60513927,The Horse Expert,The Horse Expert,1961,30,"Comedy,Family",8.3,18,7,writer,teleplay,4,12,Everett Greenbaum,1919,1999,"writer,actor,miscellaneous"
tt60524156,Gomer and the Father Figure,Gomer and the Father Figure,1966,30,"Comedy,War",7.2,53,8,writer,created by,2,28,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt60549303,Samanthas Psychic Slip,Samanthas Psychic Slip,1971,25,"Comedy,Family,Fantasy",8.2,253,6,writer,written by,7,25,John L. Greene,1912,1995,"writer,producer"
tt60565222,Jonathan Tells It Like It Was,Jonathan Tells It Like It Was,1969,24,"Comedy,Fantasy",7.5,32,6,writer,written by,1,23,Joseph Bonaduce,1927,2004,"writer,miscellaneous,producer"
tt60640097,Captain Parmenter One Man Army,Captain Parmenter One Man Army,1966,25,"Comedy,Western",7.4,48,7,writer,written by,1,26,Stan Dreben,1918,1980,"writer,script_department,miscellaneous"
tt60715376,Once Upon a Martian Mothers Day,Once Upon a Martian Mothers Day,1965,30,"Comedy,Family,Sci-Fi",7.6,33,8,writer,creator,2,28,John L. Greene,1912,1995,"writer,producer"
tt60718187,Sis Peepers Visits,Sis Peepers Visits,1952,30,Comedy,7.3,7,7,writer,written by,2,8,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt60723913,The Good Will Tour,The Good Will Tour,1962,30,"Comedy,Family",7.3,14,5,writer,written by,6,5,James Fritzell,1920,1979,"writer,script_department,soundtrack"
tt60740905,Russians R in Season,Russians R in Season,1963,30,"Comedy,Family,Sci-Fi",7.6,69,7,writer,creator,1,4,John L. Greene,1912,1995,"writer,producer"
